region,source,target,priority,guard_id,guard,ruling
FAULT,*,F_GENSET_LOSS,10,G_FLT_GEN,"fault_flag == 'genset_loss'","R22c (no mechanical path: genset or pack fault = tow)"
FAULT,*,F_PACK_LOSS,11,G_FLT_PACK,"fault_flag == 'pack_loss'  (contactor open / isolation trip)","R22c"
FAULT,*,F_PACK_DERATE,12,G_FLT_PACK_DER,"fault_flag == 'pack_derate'  (cell string derate, not a loss)","R16 / R8 as restated by R12"
FAULT,*,F_RESISTOR_LOSS,13,G_FLT_RES,"fault_flag == 'resistor_loss'  (chopper, element or blower)","R2 (the resistor is the only speed-independent retarder)"
FAULT,*,F_INV_DERATE,14,G_FLT_INV,"fault_flag == 'inverter_thermal'","R13 / WS2 inverter Tj export"
FAULT,*,F_SENSOR_LOSS,15,G_FLT_SENS,"fault_flag == 'sensor_loss'","R9 (methods) / E23"
FAULT,*,F_NONE,90,G_FLT_CLEAR,"fault_flag is None  (faults are latched by the injector; a real reset is a key cycle plus a diagnostic clear)","-"
THERMAL,*,H_PRECOND,10,G_TH_PRECOND,"t_cell_C < -15.0","R16 (preconditioning required below -15 C cell)"
THERMAL,*,H_INV_DERATE,11,G_TH_INV,"tj_inverter_C >= 125.0","R13 / WS2 inverter_Tj_at_continuous_rating_C"
THERMAL,*,H_HOT_PACK_DERATE,12,G_TH_HOT,"t_cell_C > 45.0  (WS3 acceptance curve falls above +45 C)","R16 / WS3 regen_acceptance.csv"
THERMAL,*,H_COLD_DERATE,13,G_TH_COLD,"-15.0 <= t_cell_C <= 10.0","R16 (dispatch permitted on the published derate curves)"
THERMAL,*,H_NOMINAL,90,G_TH_NOM,"otherwise","R16"
TRACTION,*,T_DRIVE_LIMIT,10,G_TC_DRIVE,"p_wheel_demand_kW > 0 and T_wheel_demand > T_adhesion_drive","E23 (day-one requirement) / WS2 traction_control.torque_limit_law"
TRACTION,*,T_REGEN_LIMIT,11,G_TC_REGEN,"p_wheel_demand_kW < 0 and T_wheel_regen > T_adhesion_brake","E23 (empty-truck regen, mu ~0.36 per stop)"
TRACTION,*,T_OFF,90,G_TC_OFF,"otherwise","E23"
DISPATCH,*,D_FAULT,5,G_D_FAULT,"FAULT == F_GENSET_LOSS","R22c"
DISPATCH,*,D_MOTOR,6,G_D_MOTOR,"motoring_sink_commanded  (retardation deficit and the R2 resistor is unavailable; the ISG motors the engine against its own FMEP as an electrical sink)","R2 / WS4 motoring_fmep_anchor 10.7 kW @ 1,706 rpm [WS5-PROPOSED]"
DISPATCH,*,D_START,10,G_D_START,"engine_off and (soc_usable < band_lo or reserve_deficit_kW > 0) and start_inhibit == False","R19 (V1 hysteresis) / R22b (V2 dispatch) / ESC-9 reserve"
DISPATCH,*,D_RESERVE,11,G_D_RESERVE,"reserve_deficit_kW > 0  (bus demand above the pack's dispatch envelope P_dis_allowed(T_cell, SOC); the genset covers the excess)","ESC-9 / WS3 soc15_note ('full power below SOC 40 is NOT guaranteed - WS5 dispatch limit')"
DISPATCH,*,D_FOLLOW,12,G_D_FOLLOW,"strategy == load_following, or emergency SOC band entered","R22b"
DISPATCH,*,D_NOTCH_HI,13,G_D_HI,"strategy == two_point and lowpass(P_bus_demand, tau) > P_notch_lo + h_up","R22b"
DISPATCH,*,D_PIN,14,G_D_PIN,"engine_on and no higher-priority command","R22b (pinned point) / R19 (V1 fixed point)"
DISPATCH,*,D_OFF,90,G_D_OFF,"soc_usable > band_hi and reserve_deficit_kW <= 0","R19 / R22b"
BLEND,*,B_FRICTION,10,G_B_FRIC,"p_regen_bus - p_pack - p_heater - p_resistor > 0  (all electrical sinks saturated; the balance goes to the service brakes)","R15 / R2"
BLEND,*,B_RESISTOR,11,G_B_RES,"p_regen_bus > p_pack + p_heater and resistor available","R15 (regen -> heater -> resistor -> friction) / R2"
BLEND,*,B_HEATER,12,G_B_HTR,"p_regen_bus > p_pack and t_cell_C <= 10.0 (R16 band) and heater not pre-empted by drive power","R15 (pack heater second, electrical path only - no plumbing coupling) / R16"
BLEND,*,B_PACK,13,G_B_PACK,"p_regen_bus > 0 and p_pack > 0","R15 (regen-to-pack first)"
BLEND,*,B_NONE,90,G_B_NONE,"p_wheel_demand_kW >= 0","R15"
VEHICLE,*,V_HALT,5,G_V_HALT,"no torque path: FAULT in {F_GENSET_LOSS, F_PACK_LOSS} and the surviving source cannot serve the demand -> TOW","R22c (both variants share the genset-or-pack-fault = tow asymmetry)"
VEHICLE,*,V_PRECOND,10,G_V_PRECOND,"THERMAL == H_PRECOND and v == 0","R16 (preconditioning below -15 C cell)"
VEHICLE,*,V_LIMP,11,G_V_LIMP,"FAULT != F_NONE and a torque path survives","R22c / R4's derated-limp precedent"
VEHICLE,*,V_BRAKE,12,G_V_BRAKE,"p_wheel_demand_kW < -0.5","R15"
VEHICLE,*,V_DRIVE,13,G_V_DRIVE,"p_wheel_demand_kW > +0.5","-"
VEHICLE,*,V_READY,90,G_V_READY,"otherwise (stationary or coasting inside the deadband)","R22d (coasting inside the deadband still prefers light regen)"
