run,factor,pp,description
V1_on_VOLT-SUB,mass_payload_denominator,+5.1788,"the candidate's own curb mass, expressed where it acts: the payload denominator. At the fixed 6,600 kg GVW both vehicles carry the SAME total mass, so this factor moves no energy a"
V1_on_VOLT-SUB,regen,+24.0232,"regen alone: the candidate re-run with the wheel-side regen cap set to zero (all braking to friction and the R2 resistor), everything else identical."
V1_on_VOLT-SUB,start_stop_engine_off,+74.8828,"start-stop / engine-off alone: mode (b) pinned start-stop against mode (b') - a genset that never shuts off and load-follows its best-BSFC locus (ser_band forced to (0.999, 1.0) so"
V1_on_VOLT-SUB,engine_operating_point,+11.4067,engine operating point (part load) alone: the ruler re-scored with its OWN shaft-energy demand but every gramme burned at the candidate's pinned island BSFC. What survives is every
V1_on_VOLT-SUB,start_stop_engine_off_pinned_variant,+103.8372,"second counterfactual for the same factor: the genset never shuts off but stays AT ITS PINNED POINT (mode (b), ser_band forced to (0.999, 1.0)). The two rows bracket the factor fro"
V2_on_VOLT-REG,mass_payload_denominator,+16.3376,"the candidate's own curb mass, expressed where it acts: the payload denominator. At the fixed 6,600 kg GVW both vehicles carry the SAME total mass, so this factor moves no energy a"
V2_on_VOLT-REG,regen,+4.3752,"regen alone: the candidate re-run with the wheel-side regen cap set to zero (all braking to friction and the R2 resistor), everything else identical."
V2_on_VOLT-REG,start_stop_engine_off,+0.3127,"start-stop / engine-off alone: mode (b) pinned start-stop against mode (b') - a genset that never shuts off and load-follows its best-BSFC locus (ser_band forced to (0.999, 1.0) so"
V2_on_VOLT-REG,engine_operating_point,+12.5876,engine operating point (part load) alone: the ruler re-scored with its OWN shaft-energy demand but every gramme burned at the candidate's pinned island BSFC. What survives is every
V2_on_VOLT-REG,start_stop_engine_off_pinned_variant,+65.7479,"second counterfactual for the same factor: the genset never shuts off but stays AT ITS PINNED POINT (mode (b), ser_band forced to (0.999, 1.0)). The two rows bracket the factor fro"
