case,component,quantity,value,unit,sink
volt_reg_nominal,run,duration_s_median,6577.05,s,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,engine,engine_rejection_avg_kW,74.1894,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,engine,engine_radiator_package_avg_kW,35.6109,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,engine,engine_exhaust_avg_kW,36.3528,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,generator+rectifier,generator_rectifier_loss_avg_kW,2.48051,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,traction chain,traction_chain_loss_avg_kW,4.24784,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,pack,pack_I2R_heat_kWh_per_cycle,0.636213,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,pack,pack_I2R_heat_avg_kW,0.348236,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,brake resistor,brake_resistor_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,brake resistor,brake_resistor_peak_kW,0,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,brake resistor,resistor_blower_bus_load_kW,1.45,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,pack heater,pack_heater_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_nominal,friction brakes,friction_brake_kWh_per_cycle,0.615148,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,run,duration_s_median,6577.05,s,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,engine,engine_rejection_avg_kW,87.786,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,engine,engine_radiator_package_avg_kW,42.1373,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,engine,engine_exhaust_avg_kW,43.0151,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,generator+rectifier,generator_rectifier_loss_avg_kW,2.83491,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,traction chain,traction_chain_loss_avg_kW,4.74639,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,pack,pack_I2R_heat_kWh_per_cycle,0.476864,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,pack,pack_I2R_heat_avg_kW,0.261015,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
